 0.50 0.20 0.10 0.20 0.30 0.30 0.20 0.70 0.50 0.70
 0.20 0.30 0.40 0.30 0.20 0.40 0.60 0.70 0.90 0.80
 0.20 0.40 0.40 0.70 0.60 0.90 1.00 1.20 1.30 1.70
 0.20 0.40 0.70 0.80 0.90 0.90 1.10 1.10 1.20 1.30
 0.50 0.40 1.00 0.70 0.90 1.10 1.20 1.70 1.60 1.80
 0.50 0.70 0.80 0.90 1.20 1.10 1.60 2.00 2.00 2.10
 0.40 0.90 1.10 1.00 1.20 1.50 1.40 1.70 2.00 2.20
 0.40 0.50 1.10 1.00 1.80 1.60 1.90 1.70 2.10 2.20
 0.50 0.90 1.20 1.30 1.80 2.00 2.30 2.10 1.90 2.60
 0.60 0.90 1.60 1.40 1.50 2.10 2.70 2.40 2.30 2.60
